"cout";"distanceTotale";"nbcentres"
71999.0938020592;52498.8672525739;10
71999.0938020592;52498.8672525739;10
71780.9374531691;52226.1718164613;10
71780.9374531691;52226.1718164613;10
71780.9374531691;52226.1718164613;10
71786.9574202505;52233.6967753132;10
71595.0325929343;51993.7907411679;10
71595.0325929343;51993.7907411679;10
71595.0325929343;51993.7907411679;10
71589.0126258528;51986.265782316;10
71589.0126258528;51986.265782316;10
71589.0126258528;51986.265782316;10
71589.0126258528;51986.265782316;10
71589.0126258528;51986.265782316;10
71589.0126258528;51986.265782316;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71296.5619493995;51620.7024367494;10
71367.7893454982;51709.7366818727;10
71367.7893454982;51709.7366818727;10
71367.7893454982;51709.7366818727;10
71358.5786103835;51698.2232629794;10
71358.5786103835;51698.2232629794;10
71312.9809106494;51641.2261383117;10
71074.8048495935;51343.5060619919;10
71074.8048495935;51343.5060619919;10
71074.8048495935;51343.5060619919;10
71074.8048495935;51343.5060619919;10
70716.1575918334;50895.1969897918;10
70716.1575918334;50895.1969897918;10
70716.1575918334;50895.1969897918;10
70716.1575918334;50895.1969897918;10
70516.1413321531;50645.1766651914;10
70396.0768973432;50495.0961216791;10
70396.0768973432;50495.0961216791;10
70329.3522680205;50411.6903350256;10
70329.3522680205;50411.6903350256;10
70255.7043601205;50319.6304501506;10
70255.7043601205;50319.6304501506;10
70255.7043601205;50319.6304501506;10
70255.7043601205;50319.6304501506;10
70255.7043601205;50319.6304501506;10
70255.7043601205;50319.6304501506;10
70255.7043601205;50319.6304501506;10
70293.1112427216;50366.389053402;10
70293.1112427216;50366.389053402;10
70293.1112427216;50366.389053402;10
